# vertices,# aristas,tiempo_global,tiempo_crear_agm,tiempo_elegir_master
328,3056,13.4221,7.99578,5.42634
330,3055,13.4838,7.99342,5.49042
332,3081,13.4514,8.0038,5.44761
334,3173,13.4754,8.03152,5.44386
336,3142,13.4729,8.02498,5.44793
338,3164,13.4884,8.0337,5.45473
340,3276,13.5172,8.0675,5.44968
342,3347,13.542,8.08645,5.45555
344,3316,13.5586,8.0774,5.4812
346,3335,13.6059,8.08403,5.52185
348,3339,13.5621,8.08587,5.47624
350,3381,13.5946,8.09816,5.4964
352,3455,13.6071,8.11869,5.48843
354,3500,13.6527,8.13324,5.51947
356,3570,13.6789,8.15287,5.52603
358,3575,13.6966,8.1511,5.54548
360,3620,13.6616,8.16522,5.49637
362,3624,13.6967,8.16562,5.53113
364,3662,13.7063,8.18023,5.52603
366,3694,13.7161,8.19011,5.52599
368,3794,13.7987,8.21471,5.58402
370,3807,13.7551,8.21845,5.53669
372,3852,13.8199,8.23543,5.58451
374,3846,13.7889,8.23235,5.55654
376,3903,13.7962,8.2431,5.55306
378,3950,13.8029,8.25676,5.54612
380,3952,13.8246,8.2583,5.56632
382,4132,13.8664,8.3001,5.56628
384,4108,13.8765,8.29516,5.58135
386,4092,13.8681,8.29267,5.57544
388,4144,13.907,8.30503,5.60196
390,4237,13.9323,8.32998,5.60234
392,4224,13.9144,8.32276,5.59161
394,4234,13.9269,8.32703,5.59992
396,4341,13.9816,8.35512,5.62645
398,4360,13.9621,8.35815,5.60396
400,4433,13.9962,8.37521,5.62094
402,4405,13.9813,8.37189,5.60944
404,4401,14.0201,8.36897,5.65117
406,4495,14.0163,8.38848,5.62782
408,4503,14.0293,8.39182,5.63748
410,4595,14.0689,8.41038,5.65852
412,4588,14.0704,8.41236,5.65803
414,4723,14.1011,8.45644,5.64463
416,4798,14.1179,8.46965,5.64822
418,4769,14.119,8.46549,5.65351
420,4875,14.138,8.48773,5.65028
422,4933,14.1814,8.50085,5.68058
424,4926,14.1653,8.49529,5.67001
426,4944,14.1619,8.50021,5.66173
428,4992,14.2375,8.51359,5.72392
430,5063,14.2114,8.52581,5.68556
432,5085,14.2069,8.52982,5.67703
434,5162,14.2633,8.54866,5.71461
436,5154,14.2459,8.54604,5.69989
438,5213,14.2614,8.55699,5.70444
440,5247,14.2712,8.56338,5.70785
442,5403,14.2951,8.5932,5.70193
444,5466,14.307,8.60776,5.6992
446,5461,14.3161,8.60692,5.7092
448,5570,14.3755,8.62601,5.74953
450,5554,14.3743,8.62139,5.75295
452,5563,14.397,8.62585,5.77118
454,5662,14.3581,8.63992,5.71822
456,5642,14.3853,8.64076,5.74457
458,5673,14.3797,8.64161,5.73808
460,5779,14.4228,8.66463,5.75812
462,5846,14.4224,8.6718,5.7506
464,5883,14.4297,8.68163,5.74809
466,5876,14.4391,8.67967,5.75948
468,5917,14.4519,8.68797,5.76392
470,5951,14.4626,8.69342,5.76923
472,5973,14.4792,8.69657,5.78262
474,6075,14.4783,8.71557,5.76272
476,6146,14.4939,8.72617,5.76773
478,6100,14.5026,8.71877,5.78388
480,6177,14.5132,8.73098,5.78217
482,6232,14.5176,8.73895,5.77867
484,6285,14.5979,8.7512,5.84668
486,6444,14.5959,8.77447,5.82141
488,6482,14.5993,8.78064,5.81865
490,6489,14.5713,8.78261,5.78869
492,6485,14.582,8.78406,5.79793
494,6526,14.5979,8.78836,5.80955
496,6723,14.6636,8.81853,5.84512
498,6726,14.6474,8.81777,5.82966
500,6707,14.6472,8.81703,5.83018
